ticker,period_end,duration,metric,value,currency,line_item,source_column,source_line,form,filing_date,source_url
FL,2016-02-02,annual,cash_from_operations,844000000.0,USD,Net cash provided by operating activities,2016,1437,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,cost_of_revenue,5130000000.0,USD,Cost of sales,2016,1269,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,depreciation_amortization,158000000.0,USD,Depreciation and amortization,2016,1426,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,income_tax_expense,340000000.0,USD,Income tax expense,2016,1277,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,net_income,664000000.0,USD,Net income,2016,1278,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,operating_income,1000000000.0,USD,Income from operations,2016,1273,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,pretax_income,1004000000.0,USD,Income before income taxes,2016,1276,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2016-02-02,annual,selling_general_admin,1472000000.0,USD,"Selling, general and administrative expenses",2016,1270,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,cash_from_operations,813000000.0,USD,Net cash provided by operating activities,2017,1437,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,cost_of_revenue,5326000000.0,USD,Cost of sales,2017,1269,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,depreciation_amortization,173000000.0,USD,Depreciation and amortization,2017,1426,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,income_tax_expense,294000000.0,USD,Income tax expense,2017,1277,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,net_income,284000000.0,USD,Net income,2017,1278,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,operating_income,571000000.0,USD,Income from operations,2017,1273,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,pretax_income,578000000.0,USD,Income before income taxes,2017,1276,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,annual,selling_general_admin,1501000000.0,USD,"Selling, general and administrative expenses",2017,1270,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,instant,accounts_payable,258000000.0,USD,Accounts payable,2017,1339,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,instant,cash_and_equivalents,849000000.0,USD,Cash and cash equivalents,2017,1327,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,instant,noncurrent_debt,125000000.0,USD,Long-term debt,2017,1342,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2017-02-02,instant,other_current_assets,424000000.0,USD,Other current assets,2017,1329,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,cash_from_operations,781000000.0,USD,Net cash provided by operating activities,2018,1437,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,cost_of_revenue,5411000000.0,USD,Cost of sales,2018,1269,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,depreciation_amortization,178000000.0,USD,Depreciation and amortization,2018,1426,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,income_tax_expense,172000000.0,USD,Income tax expense,2018,1277,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,net_income,541000000.0,USD,Net income,2018,1278,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,operating_income,699000000.0,USD,Income from operations,2018,1273,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,pretax_income,713000000.0,USD,Income before income taxes,2018,1276,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,annual,selling_general_admin,1614000000.0,USD,"Selling, general and administrative expenses",2018,1270,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,instant,accounts_payable,387000000.0,USD,Accounts payable,2018,1339,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,instant,cash_and_equivalents,891000000.0,USD,Cash and cash equivalents,2018,1327,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,instant,noncurrent_debt,124000000.0,USD,Long-term debt,2018,1342,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,2018-02-02,instant,other_current_assets,358000000.0,USD,Other current assets,2018,1329,10-K,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
