"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Nike","NKE","54963625984","37.05","United States"
"2","Adidas","ADS.DE","29119808252","166.339","Germany"
"3","ASICS Corporation","7936.T","18691193360","26.3661","Japan"
"4","Deckers Brands","DECK","10968086528","80.54","United States"
"5","On Holding","ONON","9180876800","27.47","Switzerland"
"6","Crocs","CROX","5345396224","111.49","United States"
"7","VF Corporation","VFC","5138268672","13.07","United States"
"8","Birkenstock","BIRK","5062769664","30.66","Germany"
"9","Boot Barn Holdings","BOOT","4325886976","142.84","United States"
"10","ABC-Mart","2670.T","4321179064","17.4511","Japan"
"11","Li Ning Company","2331.HK","4261154914","1.64853","China"
"12","PUMA","PUM.DE","3694260991","25.0954","Germany"
"13","CCC S.A.","CCC.WA","2691198839","34.9389","Poland"
"14","Metro Brands","METROBRAND.NS","2687128180","9.85767","India"
"15","Under Armour","UA","2109068544","4.91","United States"
"16","Salvatore Ferragamo","SFER.MI","1608702058","9.73298","Italy"
"17","Wolverine World Wide","WWW","1602755584","19.53","United States"
"18","Misto Holdings (Fila)","081660.KS","1561136242","29.6524","South Korea"
"19","Bata India","BATAINDIA.NS","874269674","6.8022","India"
"20","Relaxo Footwear","RELAXO.NS","844645671","3.39299","India"
"21","Campus Activewear","CAMPUS.NS","685100025","2.24123","India"
"22","Grendene","GRND3.SA","659022678","0.730494","Brazil"
"23","Shoe Carnival","SCVL","473247296","17.43","United States"
"24","Caleres","CAL","432692384","12.54","United States"
"25","Weyco Group","WEYS","421484896","44.13","United States"
"26","Genesco","GCO","378380736","34.97","United States"
"27","Designer Brands","DBI","333835840","6.53","United States"
"28","Rocky Brands","RCKY","324849280","43.36","United States"
"29","Accent Group","AX1.AX","292129656","0.485923","Australia"
"30","Lanvin Group","LANV","149560128","1.07","China"
"31","GEOX","GEO.MI","123383078","0.336955","Italy"
"32","Shoe Zone","SHOE.L","45604620","0.992841","United Kingdom"
"33","Mirza International","MIRZAINT.NS","44187000","0.319728","India"
"34","Allbirds","BIRD","22103188","2.51","United States"
