"Rank","Name","Symbol","pe_ratio_ttm","price (USD)","country"
"1","Grendene","GRND3.SA","6.15438","0.730494","Brazil"
"2","Accent Group","AX1.AX","7.29941","0.485923","Australia"
"3","Misto Holdings (Fila)","081660.KS","7.40529","29.6524","South Korea"
"4","Deckers Brands","DECK","11.4241","80.54","United States"
"5","Shoe Carnival","SCVL","12.8162","17.43","United States"
"6","Birkenstock","BIRK","13.6275","30.66","Germany"
"7","Wolverine World Wide","WWW","15.4478","19.53","United States"
"8","Rocky Brands","RCKY","17.4839","43.36","United States"
"9","Weyco Group","WEYS","17.5817","44.13","United States"
"10","Nike","NKE","17.6429","37.05","United States"
"11","Genesco","GCO","18.3089","34.97","United States"
"12","Adidas","ADS.DE","19.0646","166.339","Germany"
"13","Boot Barn Holdings","BOOT","19.2767","142.84","United States"
"14","CCC S.A.","CCC.WA","21.4216","34.9389","Poland"
"15","VF Corporation","VFC","22.9298","13.07","United States"
"16","On Holding","ONON","28.7742","27.47","Switzerland"
"17","Designer Brands","DBI","30.983","6.53","United States"
"18","Campus Activewear","CAMPUS.NS","41.1085","2.24123","India"
"19","Relaxo Footwear","RELAXO.NS","42.3042","3.39299","India"
"20","Bata India","BATAINDIA.NS","45.931","6.8022","India"
"21","Metro Brands","METROBRAND.NS","54.4019","9.85767","India"
"22","Mirza International","MIRZAINT.NS","471.64","0.319728","India"
"23","Shoe Zone","SHOE.L","1810.14","0.992841","United Kingdom"
"24","Caleres","CAL","-1254","12.54","United States"
"25","ABC-Mart","2670.T","12.3901","17.4511","Japan"
"26","Allbirds","BIRD","-0.263933","2.51","United States"
"27","Crocs","CROX","-85.1069","111.49","United States"
"28","ASICS Corporation","7936.T","23.57","26.3661","Japan"
"29","Under Armour","UA","-4.23276","4.91","United States"
"30","Salvatore Ferragamo","SFER.MI","-91.9159","9.73298","Italy"
"31","GEOX","GEO.MI","0","0.336955","Italy"
"32","Li Ning Company","2331.HK","0","1.64853","China"
"33","PUMA","PUM.DE","-31.2764","25.0954","Germany"
"34","Lanvin Group","LANV","-0.637273","1.07","China"
