"Rank","Name","Symbol","dividend_yield_ttm","price (USD)","country"
"1","Grendene","GRND3.SA","4114.67","0.730494","Brazil"
"2","Li Ning Company","2331.HK","777.226","1.64853","China"
"3","Weyco Group","WEYS","700.204","44.13","United States"
"4","Accent Group","AX1.AX","683.485","0.485923","Australia"
"5","Misto Holdings (Fila)","081660.KS","454.274","29.6524","South Korea"
"6","Nike","NKE","439.946","37.05","United States"
"7","Designer Brands","DBI","306.279","6.53","United States"
"8","VF Corporation","VFC","275.44","13.07","United States"
"9","Shoe Carnival","SCVL","269.65","17.43","United States"
"10","ABC-Mart","2670.T","262.424","17.4511","Japan"
"11","Caleres","CAL","223.285","12.54","United States"
"12","Wolverine World Wide","WWW","204.813","19.53","United States"
"13","Adidas","ADS.DE","191.481","166.339","Germany"
"14","Rocky Brands","RCKY","146.448","43.36","United States"
"15","Relaxo Footwear","RELAXO.NS","92.1977","3.39299","India"
"16","ASICS Corporation","7936.T","78.7405","26.3661","Japan"
"17","Metro Brands","METROBRAND.NS","58.1795","9.85767","India"
"18","Campus Activewear","CAMPUS.NS","13.9578","2.24123","India"
"19","GEOX","GEO.MI","0","0.336955","Italy"
"20","Under Armour","UA","0","4.91","United States"
"21","Mirza International","MIRZAINT.NS","0","0.319728","India"
"22","CCC S.A.","CCC.WA","0","34.9389","Poland"
"23","Birkenstock","BIRK","0","30.66","Germany"
"24","Lanvin Group","LANV","0","1.07","China"
"25","Deckers Brands","DECK","0","80.54","United States"
"26","PUMA","PUM.DE","0","25.0954","Germany"
"27","Boot Barn Holdings","BOOT","0","142.84","United States"
"28","Salvatore Ferragamo","SFER.MI","0","9.73298","Italy"
"29","Crocs","CROX","0","111.49","United States"
"30","Allbirds","BIRD","0","2.51","United States"
"31","On Holding","ONON","0","27.47","Switzerland"
"32","Bata India","BATAINDIA.NS","0","6.8022","India"
"33","Shoe Zone","SHOE.L","0","0.992841","United Kingdom"
"34","Genesco","GCO","0","34.97","United States"
