"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"1","Grendene","GRND3.SA","3184","0.730494","Brazil"
"2","Deckers Brands","DECK","2423","80.54","United States"
"3","Metro Brands","METROBRAND.NS","2422","9.85767","India"
"4","Birkenstock","BIRK","2164","30.66","Germany"
"5","ABC-Mart","2670.T","1749","17.4511","Japan"
"6","ASICS Corporation","7936.T","1711","26.3661","Japan"
"7","Boot Barn Holdings","BOOT","1340","142.84","United States"
"8","Weyco Group","WEYS","1189","44.13","United States"
"9","Campus Activewear","CAMPUS.NS","1139","2.24123","India"
"10","Bata India","BATAINDIA.NS","1029","6.8022","India"
"11","Misto Holdings (Fila)","081660.KS","1025","29.6524","South Korea"
"12","On Holding","ONON","894","27.47","Switzerland"
"13","Relaxo Footwear","RELAXO.NS","893","3.39299","India"
"14","Adidas","ADS.DE","872","166.339","Germany"
"15","CCC S.A.","CCC.WA","851","34.9389","Poland"
"16","Nike","NKE","840","37.05","United States"
"17","Wolverine World Wide","WWW","648","19.53","United States"
"18","Shoe Carnival","SCVL","619","17.43","United States"
"19","Accent Group","AX1.AX","555","0.485923","Australia"
"20","Rocky Brands","RCKY","455","43.36","United States"
"21","VF Corporation","VFC","355","13.07","United States"
"22","Mirza International","MIRZAINT.NS","145","0.319728","India"
"23","Crocs","CROX","116","111.49","United States"
"24","Designer Brands","DBI","103","6.53","United States"
"25","Genesco","GCO","51","34.97","United States"
"26","Shoe Zone","SHOE.L","0","0.992841","United Kingdom"
"27","Li Ning Company","2331.HK","0","1.64853","China"
"28","Caleres","CAL","-44","12.54","United States"
"29","Under Armour","UA","-71","4.91","United States"
"30","GEOX","GEO.MI","-215","0.336955","Italy"
"31","PUMA","PUM.DE","-445","25.0954","Germany"
"32","Salvatore Ferragamo","SFER.MI","-537","9.73298","Italy"
"33","Allbirds","BIRD","-5146","2.51","United States"
"34","Lanvin Group","LANV","-11107","1.07","China"
