"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"1","Nike","NKE","3797000000","37.05","United States"
"2","Adidas","ADS.DE","2575720000","166.339","Germany"
"3","Deckers Brands","DECK","1326360000","80.54","United States"
"4","Li Ning Company","2331.HK","598794000","1.64853","China"
"5","Birkenstock","BIRK","552786000","30.66","Germany"
"6","ASICS Corporation","7936.T","486664000","26.3661","Japan"
"7","ABC-Mart","2670.T","408342000","17.4511","Japan"
"8","On Holding","ONON","351161000","27.47","Switzerland"
"9","VF Corporation","VFC","341218000","13.07","United States"
"10","Misto Holdings (Fila)","081660.KS","326471000","29.6524","South Korea"
"11","Boot Barn Holdings","BOOT","302116000","142.84","United States"
"12","CCC S.A.","CCC.WA","237525000","34.9389","Poland"
"13","Wolverine World Wide","WWW","165900000","19.53","United States"
"14","Grendene","GRND3.SA","122265000","0.730494","Brazil"
"15","Salvatore Ferragamo","SFER.MI","119515000","9.73298","Italy"
"16","Metro Brands","METROBRAND.NS","77902200","9.85767","India"
"17","Accent Group","AX1.AX","53937600","0.485923","Australia"
"18","Shoe Carnival","SCVL","52717000","17.43","United States"
"19","Crocs","CROX","46883000","111.49","United States"
"20","Bata India","BATAINDIA.NS","41085400","6.8022","India"
"21","Weyco Group","WEYS","32837000","44.13","United States"
"22","Genesco","GCO","30100000","34.97","United States"
"23","Designer Brands","DBI","30096000","6.53","United States"
"24","GEOX","GEO.MI","29366000","0.336955","Italy"
"25","Relaxo Footwear","RELAXO.NS","26900200","3.39299","India"
"26","Campus Activewear","CAMPUS.NS","22452300","2.24123","India"
"27","Rocky Brands","RCKY","22430000","43.36","United States"
"28","Caleres","CAL","19009000","12.54","United States"
"29","Shoe Zone","SHOE.L","4377170","0.992841","United Kingdom"
"30","Mirza International","MIRZAINT.NS","1047330","0.319728","India"
"31","Under Armour","UA","-35393000","4.91","United States"
"32","Allbirds","BIRD","-73433000","2.51","United States"
"33","Lanvin Group","LANV","-313815000","1.07","China"
"34","PUMA","PUM.DE","-377720000","25.0954","Germany"
