"Rank","Name","Symbol","employees_count","price (USD)","country"
"1","Nike","NKE","73000","37.05","United States"
"2","Adidas","ADS.DE","46045","166.339","Germany"
"3","PUMA","PUM.DE","20000","25.0954","Germany"
"4","Grendene","GRND3.SA","17192","0.730494","Brazil"
"5","CCC S.A.","CCC.WA","15478","34.9389","Poland"
"6","VF Corporation","VFC","14560","13.07","United States"
"7","Designer Brands","DBI","13000","6.53","United States"
"8","ABC-Mart","2670.T","9075","17.4511","Japan"
"9","ASICS Corporation","7936.T","8987","26.3661","Japan"
"10","Relaxo Footwear","RELAXO.NS","8026","3.39299","India"
"11","Crocs","CROX","8010","111.49","United States"
"12","Accent Group","AX1.AX","7500","0.485923","Australia"
"13","Birkenstock","BIRK","6800","30.66","Germany"
"14","Under Armour","UA","6200","4.91","United States"
"15","Deckers Brands","DECK","6000","80.54","United States"
"16","Caleres","CAL","5000","12.54","United States"
"17","Li Ning Company","2331.HK","4845","1.64853","China"
"18","Genesco","GCO","4800","34.97","United States"
"19","Bata India","BATAINDIA.NS","4357","6.8022","India"
"20","On Holding","ONON","3963","27.47","Switzerland"
"21","Boot Barn Holdings","BOOT","3800","142.84","United States"
"22","Salvatore Ferragamo","SFER.MI","3392","9.73298","Italy"
"23","Wolverine World Wide","WWW","3050","19.53","United States"
"24","Shoe Zone","SHOE.L","2593","0.992841","United Kingdom"
"25","GEOX","GEO.MI","2581","0.336955","Italy"
"26","Shoe Carnival","SCVL","2500","17.43","United States"
"27","Mirza International","MIRZAINT.NS","2409","0.319728","India"
"28","Rocky Brands","RCKY","2200","43.36","United States"
"29","Lanvin Group","LANV","2066","1.07","China"
"30","Campus Activewear","CAMPUS.NS","782","2.24123","India"
"31","Weyco Group","WEYS","408","44.13","United States"
"32","Allbirds","BIRD","362","2.51","United States"
"33","Misto Holdings (Fila)","081660.KS","57","29.6524","South Korea"
"34","Metro Brands","METROBRAND.NS","0","9.85767","India"
