"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Nike","NKE","46398000000","37.05","United States"
"2","Adidas","ADS.DE","29563964628","166.339","Germany"
"3","VF Corporation","VFC","9605207000","13.07","United States"
"4","PUMA","PUM.DE","8152590453","25.0954","Germany"
"5","Deckers Brands","DECK","5472296000","80.54","United States"
"6","Under Armour","UA","4966370000","4.91","United States"
"7","Li Ning Company","2331.HK","4230702422","1.64853","China"
"8","ASICS Corporation","7936.T","4119476784","26.3661","Japan"
"9","Crocs","CROX","4024771000","111.49","United States"
"10","On Holding","ONON","3925301725","27.47","Switzerland"
"11","Misto Holdings (Fila)","081660.KS","3179925991","29.6524","South Korea"
"12","Designer Brands","DBI","2902112000","6.53","United States"
"13","CCC S.A.","CCC.WA","2867721588","34.9389","Poland"
"14","Caleres","CAL","2810231000","12.54","United States"
"15","Birkenstock","BIRK","2554033501","30.66","Germany"
"16","Genesco","GCO","2449148000","34.97","United States"
"17","ABC-Mart","2670.T","2415101001","17.4511","Japan"
"18","Boot Barn Holdings","BOOT","2253859000","142.84","United States"
"19","Wolverine World Wide","WWW","1919600000","19.53","United States"
"20","Salvatore Ferragamo","SFER.MI","1316922318","9.73298","Italy"
"21","Shoe Carnival","SCVL","1128339000","17.43","United States"
"22","Accent Group","AX1.AX","971097215","0.485923","Australia"
"23","GEOX","GEO.MI","960104574","0.336955","Italy"
"24","Rocky Brands","RCKY","492304000","43.36","United States"
"25","Bata India","BATAINDIA.NS","395871719","6.8022","India"
"26","Grendene","GRND3.SA","384501053","0.730494","Brazil"
"27","Metro Brands","METROBRAND.NS","321558957","9.85767","India"
"28","Relaxo Footwear","RELAXO.NS","301867798","3.39299","India"
"29","Lanvin Group","LANV","282520027","1.07","China"
"30","Weyco Group","WEYS","276144000","44.13","United States"
"31","Shoe Zone","SHOE.L","200434220","0.992841","United Kingdom"
"32","Campus Activewear","CAMPUS.NS","197873298","2.24123","India"
"33","Allbirds","BIRD","142672000","2.51","United States"
"34","Mirza International","MIRZAINT.NS","59218156","0.319728","India"
