ticker,form,period_end,filing_date,source_url
DECK,10-K,2019-03-31,2019-05-30,https://www.sec.gov/Archives/edgar/data/910521/000091052119000011/deck331201910-kdocument.htm
DECK,10-K,2020-03-31,2020-06-01,https://www.sec.gov/Archives/edgar/data/910521/000091052120000016/deck331202010-k.htm
DECK,10-K,2021-03-31,2021-05-28,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/deck-20210331.htm
DECK,10-K,2022-03-31,2022-05-27,https://www.sec.gov/Archives/edgar/data/910521/000091052122000017/deck-20220331.htm
DECK,10-K,2023-03-31,2023-05-26,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/deck-20230331.htm
DECK,10-K,2024-03-31,2024-05-24,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/deck-20240331.htm
DECK,10-K,2025-03-31,2025-05-23,https://www.sec.gov/Archives/edgar/data/910521/000091052125000017/deck-20250331.htm
DECK,10-K,2026-03-31,2026-05-22,https://www.sec.gov/Archives/edgar/data/910521/000162828026037664/deck-20260331.htm
DECK,10-Q,2026-06-30,2026-07-30,https://www.sec.gov/Archives/edgar/data/910521/000091052126000022/deck-20260630.htm
FL,10-K,2019-02-02,2019-04-02,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/fl-20190202x10k.htm
FL,10-K,2020-02-01,2020-03-27,https://www.sec.gov/Archives/edgar/data/850209/000085020920000007/fl-20200201x10k.htm
FL,10-K,2021-01-30,2021-03-25,https://www.sec.gov/Archives/edgar/data/850209/000085020921000003/fl-20210130x10k.htm
FL,10-K,2022-01-29,2022-03-24,https://www.sec.gov/Archives/edgar/data/850209/000085020922000003/fl-20220129x10k.htm
FL,10-K,2023-01-28,2023-03-27,https://www.sec.gov/Archives/edgar/data/850209/000085020923000006/fl-20230128x10k.htm
FL,10-K,2024-02-03,2024-03-28,https://www.sec.gov/Archives/edgar/data/850209/000143774924009866/floc20240203_10k.htm
FL,10-K,2025-02-01,2025-03-27,https://www.sec.gov/Archives/edgar/data/850209/000143774925009620/floc20241213_10k.htm
NKE,10-K,2019-05-31,2019-07-23,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm
NKE,10-K,2020-05-31,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,10-K,2021-05-31,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,10-K,2022-05-31,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,10-K,2023-05-31,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,10-K,2024-05-31,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,10-K,2025-05-31,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,10-K,2026-05-31,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
ONON,20-F,2021-12-31,2022-03-18,https://www.sec.gov/Archives/edgar/data/1858985/000185898522000006/onholdingag-20211231.htm
ONON,20-F,2022-12-31,2023-03-21,https://www.sec.gov/Archives/edgar/data/1858985/000185898523000011/onholdingag-20221231.htm
ONON,20-F,2023-12-31,2024-03-12,https://www.sec.gov/Archives/edgar/data/1858985/000185898524000012/onholdingag-20231231.htm
ONON,20-F,2024-12-31,2025-03-04,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/onholdingag-20241231.htm
ONON,20-F,2025-12-31,2026-03-03,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000008/onholdingag-20251231.htm
ONON,6-K,2026-06-30,2026-08-11,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000018/onholdingag-20260630_d2.htm
