date,time,source_url,heading,description
2019-01-15,08:00:00 UTC,https://www.wired.com/story/nike-adapt-bb-sneaker/,Nike's New Self-Lacing Basketball Shoe Is Actually Smart,"The Adapt BB isn't just an impressive riff on a sci-fi dream—it's a lightweight, NBA-ready kick that's ushering in a new age of smart footwear."
2019-01-16,19:51:32 UTC,https://qz.com/quartzy/1524594/nikes-new-adapt-bb-sneakers-to-be-worn-by-nba-player-jayson-tatum,Nike’s new $350 “smart” shoe is its most unusual sneaker yet,"All around you could hear the motors going, a slight mechanical wheeze announcing the tightening or loosening of sneakers. It was constantly in the..."
2019-01-23,08:00:00 UTC,https://investorplace.com/2019/01/is-nike-stock-attractive-after-analysts-upgrade/,Is Nike Stock Attractive After Analyst’s Upgrade?,"On Tuesday, athletic apparel maker Nike Inc. (NYSE:NKE) got a vote of confidence from Cowen,as the firm upgraded the retailer to Outperform from Market..."
2019-01-25,08:00:00 UTC,https://www.bloomberg.com/news/articles/2019-01-25/nike-lands-major-league-baseball-jersey-rights-in-10-year-deal,Nike Lands Major League Baseball Jersey Rights in 10-Year Deal,"Nike Inc. will be the next jersey supplier for Major League Baseball, a licensing deal originally awarded to rival Under Armour Inc. in 2016."
2019-01-31,08:00:00 UTC,https://africa.businessinsider.com/a-popular-nike-sneaker-is-facing-backlash-from-muslims-who-say-its-logo-looks-like/n1k0587,A popular Nike sneaker is facing backlash from Muslims who say its logo looks like the Arabic script for 'Allah' (NKE),"""It is outrageous and appalling of Nike to allow the name of God on a shoe,"" the petition reads. ""This is disrespectful and extremely offensive to Muslims and..."
2019-02-21,08:00:00 UTC,https://africa.businessinsider.com/nike-shares-slide-in-pre-market-trading-after-zion-williamsons-sneaker-malfunction/fsrmx1w,Nike shares slide in pre-market trading after Zion Williamson's sneaker malfunction (NKE),Shares in sportswear giant Nike are sliding in pre-market trading Thursday after a star college athlete was injured when his sneaker malfunctioned during a...
2019-02-21,08:00:00 UTC,https://www.foxbusiness.com/features/zion-williamsons-shoe-split-puts-nikes-brand-in-the-spotlight,Zion Williamson's shoe split puts Nike's brand in spotlight,Duke University is not the only one reeling after its big loss in Wednesday's marquee matchup with North Carolina -- Nike's brand legacy could be on the...
2019-02-21,08:00:00 UTC,https://www.theglobeandmail.com/business/international-business/us-business/article-nike-shares-slip-after-duke-basketball-star-zion-williamsons-sneaker/,Nike shares slip after Duke basketball star Zion Williamson’s sneaker rips,"Williamson was wearing the Nike PG 2.5 basketball shoe when he was injured, according to ESPN."
2019-02-25,08:00:00 UTC,https://www.bizjournals.com/bizwomen/news/latest-news/2019/02/serena-williams-embraces-crazy-in-new-nike-ad.html,Serena Williams embraces 'crazy' in new Nike ad,Nike debuted a commercial narrated by Serena Williams during the Academy Awards ceremony highlighting elite female athletes from the past and present and...
2019-03-03,08:00:00 UTC,https://finance.yahoo.com/news/better-buy-disney-vs-nike-190300314.html,Better Buy: Disney vs. Nike,"Walt Disney (NYSE: DIS) and Nike (NYSE: NKE) are two of the biggest brands in the world. They're leaders in their respective industries, they're masters of..."
2019-03-11,07:00:00 UTC,https://www.businessinsider.com/nike-reveals-plan-women-world-cup-deal-2019-3,Nike Reveals Plan for Women's Wear and World Cup Deal,"Nike plans to focus on women in 2019. On Monday, the retail giant announced it will be sponsoring 14 national teams for the FIFA Women's World Cup this..."
2019-03-14,07:00:00 UTC,https://news.alphastreet.com/nike-q3-2019-earnings-preview/,"Earnings preview: Innovation, digital push to drive Nike’s Q3 growth","After surviving the challenges posed by adverse market conditions, sneaker maker Nike (NKE) will be publishing its third-quarter earnings on March 21 after..."
