case,fiscal_year,period_end,year_number,growth,margin,da_ratio,capex_ratio,nwc_target,tax_rate,credit_spread,terminal_growth,terminal_roic,wacc
bear,2027,2027-05-31,1,-0.03,0.075,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983
bear,2028,2028-05-31,2,0.0,0.075,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983
bear,2029,2029-05-31,3,0.01,0.08,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983
bear,2030,2030-05-31,4,0.01,0.085,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983
bear,2031,2031-05-31,5,0.015,0.09,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983
base,2027,2027-05-31,1,0.02,0.09,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869
base,2028,2028-05-31,2,0.03,0.1,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869
base,2029,2029-05-31,3,0.035,0.11,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869
base,2030,2030-05-31,4,0.03,0.115,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869
base,2031,2031-05-31,5,0.025,0.12,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869
bull,2027,2027-05-31,1,0.04,0.105,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958
bull,2028,2028-05-31,2,0.055,0.12,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958
bull,2029,2029-05-31,3,0.05,0.13,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958
bull,2030,2030-05-31,4,0.04,0.135,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958
bull,2031,2031-05-31,5,0.035,0.14,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958
