case,fiscal_year,period_end,year_number,growth,margin,da_ratio,capex_ratio,nwc_target,tax_rate,credit_spread,terminal_growth,terminal_roic,wacc,revenue,ebit,nopat,da,capex,nwc_ratio,nwc,previous_nwc,delta_nwc,fcff_full_year,stub_fraction,fcff_remaining,discount_years,pv_fcff
bear,2027,2027-05-31,1,-0.03,0.075,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983,45006060000.0,3375454500.0,2565345420.0,720096960.0,720096960.0,0.12745264882106988,5736141560.0,5884000000.0,-147858440.0,2713203860.0,0.7068493150684931,1917826290.0821917,0.7063655030800822,1807114728.2413342
bear,2028,2028-05-31,2,0.0,0.075,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983,45006060000.0,3375454500.0,2565345420.0,720096960.0,720096960.0,0.1280894866158024,5764803120.0,5736141560.0,28661560.0,2536683860.0,1.0,2536683860.0,1.7084188911704312,2196895534.966218
bear,2029,2029-05-31,3,0.01,0.08,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983,45456120600.0,3636489648.0,2763732132.48,727297929.6,727297929.6,0.12872632441053494,5851399326.8,5764803120.0,86596206.80000019,2677135925.68,1.0,2677135925.68,2.707734428473648,2131474673.5925078
bear,2030,2030-05-31,4,0.01,0.085,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983,45910681806.0,3902407953.51,2965830044.6676,734570908.896,734570908.896,0.12936316220526747,5939150977.424,5851399326.8,87751650.6239996,2878078394.0436006,1.0,2878078394.0436006,3.707049965776865,2106585390.0438194
bear,2031,2031-05-31,5,0.015,0.09,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983,46599342033.09,4193940782.9780993,3187394995.0633554,745589472.5294399,745589472.5294399,0.13,6057914464.3017,5939150977.424,118763486.87769985,3068631508.1856556,1.0,3068631508.1856556,4.706365503080082,2064847026.849509
base,2027,2027-05-31,1,0.02,0.09,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869,47325960000.0,4259336400.0,3322282392.0,757215360.0,851867279.9999999,0.12545264882106988,5937167040.0,5884000000.0,53167040.0,3174463432.0,0.7068493150684931,2243867302.619178,0.7063655030800822,2114601097.1598094
base,2028,2028-05-31,2,0.03,0.1,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869,48745738800.0,4874573880.0,3802167626.4,779931820.8000001,877423298.4,0.12408948661580241,6048833702.400001,5937167040.0,111666662.40000057,3593009486.399999,1.0,3593009486.399999,1.7084188911704312,3112676775.1274533
base,2029,2029-05-31,3,0.035,0.11,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869,50451839657.99999,5549702362.379999,4328767842.6564,807229434.5279999,908133113.8439997,0.12272632441053494,6191768840.975999,6048833702.400001,142935138.5759983,4084929024.7644014,1.0,4084929024.7644014,2.707734428473648,3253901735.8112264
base,2030,2030-05-31,4,0.03,0.115,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869,51965394847.74,5976020407.4901,4661295917.8422785,831446317.56384,935377107.2593199,0.12136316220526747,6306684643.96704,6191768840.975999,114915802.99104118,4442449325.155757,1.0,4442449325.155757,3.707049965776865,3253768557.5497003
base,2031,2031-05-31,5,0.025,0.12,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869,53264529718.933495,6391743566.272019,4985559981.692175,852232475.5029359,958761534.9408028,0.12,6391743566.272019,6306684643.96704,85058922.30497932,4793971999.949328,1.0,4793971999.949328,4.706365503080082,3228523305.4731293
bull,2027,2027-05-31,1,0.04,0.105,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958,48253920000.0,5066661600.0,4002662664.0,772062720.0,1013332320.0000001,0.12445264882106988,6005328160.0,5884000000.0,121328160.0,3640064904.0,0.7068493150684931,2572977384.1972604,0.7063655030800822,2424917935.078657
bull,2028,2028-05-31,2,0.055,0.12,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958,50907885600.0,6108946272.0,4826067554.88,814526169.6,1069065597.6,0.1220894866158024,6215317617.6,6005328160.0,209989457.60000038,4361538669.28,1.0,4361538669.28,1.7084188911704312,3779091852.653462
bull,2029,2029-05-31,3,0.05,0.13,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958,53453279880.00001,6948926384.400002,5489651843.676002,855252478.0800002,1122518877.4800003,0.11972632441053495,6399764727.720001,6215317617.6,184447110.12000084,5037938334.156,1.0,5037938334.156,2.707734428473648,4014088791.565383
bull,2030,2030-05-31,4,0.04,0.135,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958,55591411075.200005,7504840495.152001,5928823991.170081,889462577.2032001,1167419632.5792003,0.11736316220526748,6524383795.238401,6399764727.720001,124619067.51840019,5526247868.275681,1.0,5526247868.275681,3.707049965776865,4049029071.496838
bull,2031,2031-05-31,5,0.035,0.14,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958,57537110462.83199,8055195464.79648,6363604417.189219,920593767.405312,1208279319.719472,0.115,6616767703.225679,6524383795.238401,92383907.98727798,5983534956.887781,1.0,5983534956.887781,4.706365503080082,4031482456.001755
