ticker,period_end,duration,metric,value,currency,line_item,source_column,source_line,form,filing_date,source_url
NKE,2019-05-31,annual,capital_expenditures,1119000000.0,USD,"Additions to property, plant and equipment",2019,1661,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,cash_from_operations,5903000000.0,USD,Cash provided (used) by operations,2019,1656,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,cost_of_revenue,21643000000.0,USD,Cost of sales,2019,1550,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,dividends_paid,1332000000.0,USD,Dividends — common and preferred,2019,1670,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,gross_profit,17474000000.0,USD,Gross profit,2019,1551,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,income_tax_expense,772000000.0,USD,Income tax expense,2019,1558,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,interest_paid,153000000.0,USD,"Interest, net of capitalized interest",2019,1679,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,net_income,4029000000.0,USD,NET INCOME,2019,1559,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,pretax_income,4801000000.0,USD,Income before income taxes,2019,1557,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,revenue,39117000000.0,USD,Revenues,2019,1549,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,selling_general_admin,12702000000.0,USD,Total selling and administrative expense,2019,1554,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,stock_based_compensation,325000000.0,USD,Stock-based compensation,2019,1648,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,weighted_average_basic_shares,1579700000.0,shares,Basic,2019,1564,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,annual,weighted_average_diluted_shares,1618400000.0,shares,Diluted,2019,1565,10-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm
NKE,2019-05-31,instant,accounts_payable,2612000000.0,USD,Accounts payable,2019,1718,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,accounts_receivable,4272000000.0,USD,"Accounts receivable, net",2019,1704,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,cash_and_equivalents,4466000000.0,USD,Cash and equivalents,2019,1702,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,class_a_shares_outstanding,315000000.0,shares,Class A shares outstanding,"MAY 31, — 2019",1576,10-K,2019-07-23,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm
NKE,2019-05-31,instant,class_b_shares_outstanding,1253000000.0,shares,Class B shares outstanding,"MAY 31, — 2019",1577,10-K,2019-07-23,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm
NKE,2019-05-31,instant,current_assets,16525000000.0,USD,Total current assets,2019,1707,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,current_debt,6000000.0,USD,Current portion of long-term debt,2019,1716,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,current_liabilities,7866000000.0,USD,Total current liabilities,2019,1722,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,inventory,5622000000.0,USD,Inventories,2019,1705,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,noncurrent_debt,3464000000.0,USD,Long-term debt,2019,1723,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,other_current_assets,1968000000.0,USD,Prepaid expenses and other current assets,2019,1706,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,other_current_liabilities,5010000000.0,USD,Accrued liabilities,2019,1720,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2019-05-31,instant,short_term_investments,197000000.0,USD,Short-term investments,2019,1703,10-K,2020-07-24,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm
NKE,2020-05-31,annual,capital_expenditures,1086000000.0,USD,"Additions to property, plant and equipment",2020,1617,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,cash_from_operations,2485000000.0,USD,Cash provided (used) by operations,2020,1612,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,cost_of_revenue,21162000000.0,USD,Cost of sales,2020,1506,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,dividends_paid,1452000000.0,USD,Dividends — common and preferred,2020,1626,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,gross_profit,16241000000.0,USD,Gross profit,2020,1507,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,income_tax_expense,348000000.0,USD,Income tax expense,2020,1514,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,interest_paid,140000000.0,USD,"Interest, net of capitalized interest",2020,1635,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2020-05-31,annual,net_income,2539000000.0,USD,NET INCOME,2020,1515,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
