date,time,source_url,heading,description,published_at,heading_key,publisher_domain,age_days,text,sentiment_score,publication_day
2026-06-24,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/nike-nke-falls-more-steeply-215005553.html,Nike (NKE) Falls More Steeply Than Broader Market: What Investors Need to Know,"Nike (NKE) Falls More Steeply Than Broader Market: What Investors Need to Know ... Nike (NKE) ended the recent trading session at $41.82, demonstrating a -1.32%...",2026-06-24 07:00:00+00:00,nike nke falls more steeply than broader market what investors need to know,finance.yahoo.com,83,"Nike (NKE) Falls More Steeply Than Broader Market: What Investors Need to Know. Nike (NKE) Falls More Steeply Than Broader Market: What Investors Need to Know ... Nike (NKE) ended the recent trading session at $41.82, demonstrating a -1.32%...",0.0,2026-06-24
2026-06-26,07:00:00 UTC,https://www.investopedia.com/nike-reports-earnings-tuesday-here-is-how-much-traders-expect-the-stock-could-move-nke-q4-fy2026-12005899,Nike Reports Earnings Tuesday. Here's How Much Traders Expect the Stock Could Move,"Nike's next earnings report is due Tuesday afternoon, with traders anticipating its stock could swing up to 8% by the end of the week following the results.",2026-06-26 07:00:00+00:00,nike reports earnings tuesday here s how much traders expect the stock could move,investopedia.com,81,"Nike Reports Earnings Tuesday. Here's How Much Traders Expect the Stock Could Move. Nike's next earnings report is due Tuesday afternoon, with traders anticipating its stock could swing up to 8% by the end of the week following the results.",0.0,2026-06-26
2026-06-28,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/earnings-watch-nike-nke-reports-030052713.html,Earnings To Watch: Nike (NKE) Reports Q2 Results Tomorrow,Earnings To Watch: Nike (NKE) Reports Q2 Results Tomorrow ... Athletic apparel brand Nike (NYSE:NKE) will be reporting results this Tuesday after market hours.,2026-06-28 07:00:00+00:00,earnings to watch nike nke reports q2 results tomorrow,finance.yahoo.com,79,Earnings To Watch: Nike (NKE) Reports Q2 Results Tomorrow. Earnings To Watch: Nike (NKE) Reports Q2 Results Tomorrow ... Athletic apparel brand Nike (NYSE:NKE) will be reporting results this Tuesday after market hours.,0.0,2026-06-28
2026-06-30,07:00:00 UTC,https://www.quiverquant.com/news/Nike+%28NKE%29+Stock+Falls+on+Q4+2026+Earnings,Nike (NKE) Stock Falls on Q4 2026 Earnings,Nike (NKE) Stock Falls on Q4 2026 Earnings · Revenue: $11.0 billion · Operating profit: $1.3 billion · Net income: $1.1 billion · Diluted EPS: $0.72. Shares...,2026-06-30 07:00:00+00:00,nike nke stock falls on q4 2026 earnings,quiverquant.com,77,Nike (NKE) Stock Falls on Q4 2026 Earnings. Nike (NKE) Stock Falls on Q4 2026 Earnings · Revenue: $11.0 billion · Operating profit: $1.3 billion · Net income: $1.1 billion · Diluted EPS: $0.72. Shares...,0.6249,2026-06-30
2026-06-30,07:00:00 UTC,https://www.cnbc.com/2026/06/30/nike-nke-q4-2026-earnings.html,Nike results top estimates even as China sales drop 12%; retailer expects $986 million tariff refund,"Nike reported earnings and revenue that beat Wall Street expectations. Still, the company reported a 12% drop in sales in its Greater China market.",2026-06-30 07:00:00+00:00,nike results top estimates even as china sales drop 12 retailer expects 986 million tariff refund,cnbc.com,77,"Nike results top estimates even as China sales drop 12%; retailer expects $986 million tariff refund. Nike reported earnings and revenue that beat Wall Street expectations. Still, the company reported a 12% drop in sales in its Greater China market.",0.0258,2026-06-30
2026-06-30,07:00:00 UTC,https://wwd.com/footwear-news/shoe-industry-news/nike-nke-q4-2026-earnings-tariff-refunds-converse-1239048640/,Tariff Refunds Could Be a Boon for Nike as Company Posts Solid Q4 Beat,"Nike NKE Q4 2026 earnings are in: the athletic company saw net sales in the fourth quarter of $10.97 billion, down 1 percent from same time last year.",2026-06-30 07:00:00+00:00,tariff refunds could be a boon for nike as company posts solid q4 beat,wwd.com,77,"Tariff Refunds Could Be a Boon for Nike as Company Posts Solid Q4 Beat. Nike NKE Q4 2026 earnings are in: the athletic company saw net sales in the fourth quarter of $10.97 billion, down 1 percent from same time last year.",0.1531,2026-06-30
2026-06-30,07:00:00 UTC,https://stockstory.org/us/stocks/nyse/nke/news/earnings/nike-nysenke-surprises-with-q2-cy2026-sales,Nike (NYSE:NKE) Surprises With Q2 CY2026 Sales,"In Q2, Nike reported EPS of $0.72, up from $0.14 in the same quarter last year. This print easily cleared analysts' estimates, and shareholders should be...",2026-06-30 07:00:00+00:00,nike nyse nke surprises with q2 cy2026 sales,stockstory.org,77,"Nike (NYSE:NKE) Surprises With Q2 CY2026 Sales. In Q2, Nike reported EPS of $0.72, up from $0.14 in the same quarter last year. This print easily cleared analysts' estimates, and shareholders should be...",0.5719,2026-06-30
2026-07-01,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/article/nikes-latest-weak-quarter-explained-in-4-charts-120451301.html,Nike's latest weak quarter explained in 4 charts,"The only thing Nike (NKE) is ""just doing"" is serving up another post-earnings day stock slide because its results were far from a slam dunk.",2026-07-01 07:00:00+00:00,nike s latest weak quarter explained in 4 charts,finance.yahoo.com,76,"Nike's latest weak quarter explained in 4 charts. The only thing Nike (NKE) is ""just doing"" is serving up another post-earnings day stock slide because its results were far from a slam dunk.",-0.6705,2026-07-01
2026-07-01,07:00:00 UTC,https://seekingalpha.com/news/4608893-nikes-turnaround-remains-a-marathon-but-wall-street-remains-hopeful,"Nike's turnaround remains a marathon, but Wall Street remains hopeful (NKE:NYSE)","Nike's turnaround remains a marathon, but Wall Street remains hopeful ... The verdict is in: Nike's (NKE) fiscal fourth-quarter results topped expectations, but...",2026-07-01 07:00:00+00:00,nike s turnaround remains a marathon but wall street remains hopeful nke nyse,seekingalpha.com,76,"Nike's turnaround remains a marathon, but Wall Street remains hopeful (NKE:NYSE). Nike's turnaround remains a marathon, but Wall Street remains hopeful ... The verdict is in: Nike's (NKE) fiscal fourth-quarter results topped expectations, but...",0.8957,2026-07-01
2026-07-01,07:00:00 UTC,https://www.benzinga.com/quote/NKE,"Nike Inc (NKE) Stock Price, Quote, News & History","What is the current price for Nike (NKE)?. A. The stock price for Nike (NYSE: NKE) is $36.68 last updated September 14, 2026 at 7:20 AM EDT.",2026-07-01 07:00:00+00:00,nike inc nke stock price quote news history,benzinga.com,76,"Nike Inc (NKE) Stock Price, Quote, News & History. What is the current price for Nike (NKE)?. A. The stock price for Nike (NYSE: NKE) is $36.68 last updated September 14, 2026 at 7:20 AM EDT.",0.0,2026-07-01
