publisher_domain,publication_day,sentiment_score,age_days,article_count,weight
247wallst.com,2026-08-18,0.5574,28,1,0.5236470614103134
247wallst.com,2026-09-11,-0.9022,4,1,0.9117224885582168
benzinga.com,2026-07-01,0.0,76,1,0.17273910999597203
cnbc.com,2026-06-30,0.0258,77,1,0.16879374327102373
finance.yahoo.com,2026-06-24,0.0,83,1,0.1469434882854511
finance.yahoo.com,2026-06-28,0.0,79,1,0.1611712885549474
finance.yahoo.com,2026-07-01,-0.6705,76,1,0.17273910999597203
finance.yahoo.com,2026-07-21,0.0,56,1,0.2742062449236565
finance.yahoo.com,2026-07-28,0.631,49,1,0.3223425771098948
finance.yahoo.com,2026-08-19,-0.7096,27,1,0.5358867312681466
finance.yahoo.com,2026-08-25,0.0,21,1,0.6155722066724582
finance.yahoo.com,2026-08-27,0.8047,19,1,0.6446851542197896
finance.yahoo.com,2026-09-09,0.1027,6,1,0.8705505632961241
fool.com,2026-07-01,0.3919,76,1,0.17273910999597203
fool.com,2026-09-03,-0.4767,12,1,0.757858283255199
indmoney.com,2026-08-18,0.4312,28,1,0.5236470614103134
investopedia.com,2026-06-26,0.0,81,1,0.1538930516681145
moomoo.com,2026-09-08,0.0,7,1,0.8506671609508557
morningstar.com,2026-07-01,0.7783,76,1,0.17273910999597203
quiverquant.com,2026-06-30,0.6249,77,1,0.16879374327102373
quiverquant.com,2026-07-14,0.6808,63,1,0.23325824788420185
quiverquant.com,2026-08-18,0.0,28,1,0.5236470614103134
quiverquant.com,2026-08-20,0.0,26,1,0.548412489847313
seekingalpha.com,2026-07-01,0.8957,76,1,0.17273910999597203
seekingalpha.com,2026-08-04,0.9022,42,1,0.37892914162759955
seekingalpha.com,2026-08-19,0.0,27,1,0.5358867312681466
seekingalpha.com,2026-09-07,0.0,8,1,0.8312378961427878
simplywall.st,2026-07-17,0.7003,60,1,0.25
simplywall.st,2026-09-08,0.34,7,1,0.8506671609508557
simplywall.st,2026-09-11,0.128,4,1,0.9117224885582168
stockstory.org,2026-06-30,0.5719,77,1,0.16879374327102373
thestreet.com,2026-09-03,-0.2732,12,1,0.757858283255199
tikr.com,2026-07-01,0.296,76,1,0.17273910999597203
tradingkey.com,2026-08-17,-0.2732,29,1,0.5116869459983875
trefis.com,2026-07-14,0.2732,63,1,0.23325824788420185
wwd.com,2026-06-30,0.1531,77,1,0.16879374327102373
