fiscal_year,direct_share_pct,company
2019,31.614482461803313,Nike
2020,34.8415780291519,Nike
2021,38.7290621746948,Nike
2022,42.238462579510085,Nike
2023,43.74910173493481,Nike
2024,43.66946039734562,Nike
2025,42.05212018089822,Nike
2026,39.226971863723904,Nike
2019,17.070208694639007,Deckers
2020,21.418564816915467,Deckers
2021,29.059064491282125,Deckers
2022,29.488758336193378,Deckers
2023,34.47048515269132,Deckers
2024,37.67083254923232,Deckers
2025,37.40619500333618,Deckers
2026,36.15835629780507,Deckers
2021,38.06237924372067,On
2022,36.4209148187546,On
2023,37.48674739132861,On
2024,40.66773066471121,On
2025,41.821499668215,On
