fiscal_year,wholesale_revenue,company,currency,scope,base_year,base_wholesale_revenue,wholesale_index_base
2019,185.057,Deckers,USD,Deckers reported channel series,2019,185.057,99.99999999999999
2020,277.097,Deckers,USD,Deckers reported channel series,2019,185.057,149.73602727808188
2021,405.243,Deckers,USD,Deckers reported channel series,2019,185.057,218.98279989408672
2022,628.674,Deckers,USD,Deckers reported channel series,2019,185.057,339.7191135704134
2023,925.877,Deckers,USD,Deckers reported channel series,2019,185.057,500.3199014357739
2024,1126.126,Deckers,USD,Deckers reported channel series,2019,185.057,608.5292639565107
2019,25423.0,Nike,USD,Nike; all products,2019,25423.0,100.0
2020,23156.0,Nike,USD,Nike; all products,2019,25423.0,91.082877709161
2021,25898.0,Nike,USD,Nike; all products,2019,25423.0,101.86838689375762
2022,25608.0,Nike,USD,Nike; all products,2019,25423.0,100.72768752704245
2023,27397.0,Nike,USD,Nike; all products,2019,25423.0,107.76462258584746
2024,27758.0,Nike,USD,Nike; all products,2019,25423.0,109.18459662510325
2021,448.8,On,CHF,On consolidated; all products,2021,448.8,100.0
2022,777.0,On,CHF,On consolidated; all products,2021,448.8,173.1283422459893
2023,1120.3,On,CHF,On consolidated; all products,2021,448.8,249.62121212121212
2024,1375.5,On,CHF,On consolidated; all products,2021,448.8,306.48395721925135
